"","id","mus1.1listentorecordedmusic_times","mus1.2singaloneorwithothers_times","mus1.3lookatbooks_times","mus1.4playwithmusicalinstruments_times","mus1.5makepaintingsordrawings_times","mus2.1dophysicalexercise_times","mus2.2danceormovetomusic_times","mus2.3attendmusicclasseslessons_times","mus3.1Ireadbookstomybaby_times","mus3.2isangtomybaby_times","mus3.3iplayedmusicalinstrumentswithmybaby_times","mus3.4iplayedrecordedmusicformybaby_times","mus3.5imadepaintingsordrawingswithmybaby_times","mus4.1itookmybabytoconcertstohearlivemusic_times","mus4.2itookmybabytoartmuseums_times","mus4.3itookmybabytomusicclasses_times","mus5.1isanglullabiesorothersongs_times","mus5.2iplayedrecordedmusic_times","mus5.3ispokerhymesorpoemstomybaby_times","mus5.4imadecooingorshushingsounds_times","mus5.5irubbedmybaby.sback_times"
"75",582,15,75,270,4,1,6,6,0,75,75,4,15,0.75,0,0,4,4,0.17,1,1.5,1
"76",583,4,75,15,4,15,0,0,0,75,75,15,4,4,0,0,0,4,1.5,0.5,0,0
"77",586,4,1,1,0.75,0.75,0,0.17,0.17,1,4,0.75,1,0.75,0.17,0.17,0.17,1.5,0.5,0.5,0.5,1.5
"78",587,4,4,180,4,15,0,6,0,75,75,4,15,15,0,0,4,4,4,0,6,4
"79",589,180,0.75,180,75,75,6,6,0,75,75,75,180,4,0.17,0,0,6,6,6,6,0.5
"80",592,75,15,270,15,4,0,6,0.17,180,270,4,270,15,0,0,0,1.5,0,6,6,4
"81",593,180,75,75,15,15,6,6,0.17,75,75,75,180,1,0.5,0,0,1.5,0.5,1.5,4,4
"82",594,15,4,180,4,4,0,4,0.5,180,75,4,75,0.75,0.17,0,1,6,0,0,0.5,0.5
"83",602,15,0.75,180,1,4,6,1,0,15,4,0.75,15,4,0,0,0,6,0,4,4,6
"84",605,270,180,180,75,75,6,6,0,75,270,75,75,15,0,0,0,6,1,0,6,6
"85",607,15,0.75,270,15,180,0,6,0,270,75,15,4,4,0,0.17,0,6,0,0.5,0.5,4
"86",631,75,180,75,15,0.75,6,6,0,75,75,15,75,0.75,0,0,0,0.5,6,0,0.17,0.17
"87",634,180,15,180,4,15,4,4,0,75,180,1,15,15,0,0,0,6,0.5,0.17,4,6
"88",635,75,75,75,15,75,1.5,6,0,75,4,0.75,4,0.75,0,0.17,0,0,0,0,6,6
"89",636,75,75,180,15,15,6,6,0,75,180,15,75,4,0,0.17,0,6,0.17,4,6,4
"90",637,1,4,15,0.75,4,0,0,0,0.75,1,0.75,1,0.75,0,0,0,0,1,0,0,6
"91",639,75,15,15,15,4,6,6,0.17,15,180,75,75,4,1,0,0.17,6,0.17,6,6,4
"92",640,270,180,270,180,180,6,6,6,270,180,180,270,180,0.5,0,0,0.17,0.17,1,4,4
"93",641,180,180,180,4,15,6,6,0,180,270,15,270,0.75,0,0,0,6,0,0,0.17,4
"94",642,75,15,180,15,15,0,6,0,180,75,15,75,0.75,0,0,0,0,0,0,0,6
"95",643,15,180,270,4,4,6,6,0,180,180,4,15,4,0,0,0,6,0,0,1.5,1.5
"96",648,15,15,75,4,4,6,6,4,15,75,15,15,1,0.5,0,0,6,0,1.5,1.5,1.5
"97",649,180,180,75,1,4,6,6,0,180,180,1,180,1,0.5,0,0,6,0,0,1,6
"98",650,75,15,180,4,4,4,6,0,75,75,15,15,0.75,0,0,0,4,1.5,0.5,0.5,4
"99",651,15,270,270,75,0.75,6,6,1.5,75,180,15,1,4,0,0,0,4,0.5,0.17,4,6
"100",656,75,180,180,4,15,6,6,0,270,180,75,270,1,0,0,0,4,0.5,0.5,4,0.5
"101",658,15,15,75,75,15,6,6,4,15,75,15,75,0.75,0,0,0,1,0,0,0.17,1.5
"102",659,15,75,75,4,75,6,4,0,15,75,4,4,4,0,0,0,4,0,4,4,6
"103",665,75,75,180,4,4,1.5,6,0,75,75,75,75,0.75,0,0,0,6,0,0.17,4,6
"104",671,75,75,180,75,75,6,6,0,180,180,15,15,15,0,0,0,6,0,0.17,4,6
"105",672,75,180,75,15,15,6,6,0,4,15,4,15,4,0,0,0,4,0.17,0,4,0.17
"106",673,15,75,75,4,4,6,1.5,0.17,75,15,15,15,4,0,0,0,0.17,0.17,0.17,1.5,4
